Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home Page ,500,515,493,571,611,940,354,6385,0.600%,.25575,1.19,0.03
Search Filght,500,434,404,447,467,743,348,4342,0.400%,.25584,1.83,0.05
Choose Flight,500,435,408,449,477,791,362,3775,0.400%,.25583,1.68,0.04
Parchase ticket,500,438,406,447,486,877,357,3908,40.400%,.25584,1.44,0.08
Transaction Controller,200,0,0,0,0,0,0,0,0.000%,-.00000,0.00,0.00
TOTAL,2200,414,406,526,556,842,0,6385,9.500%,1.12427,6.14,0.21
