Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home Page ,400,523,493,571,611,1097,354,6385,0.750%,.23418,1.09,0.03
Search Filght,400,438,403,441,461,878,348,4342,0.500%,.23393,1.68,0.05
Choose Flight,400,439,407,442,477,791,362,3775,0.500%,.23362,1.53,0.04
Parchase ticket,400,443,405,444,485,957,357,3908,50.500%,.23330,1.32,0.07
Transaction Controller,150,0,0,0,0,0,0,0,0.000%,-.00000,0.00,0.00
TOTAL,1750,421,405,525,556,957,0,6385,11.943%,1.01925,5.59,0.19
